X2,X3,X4,FP_rate,FN_rate
1,0,1,0.0,0.0
1,0,2,0.0,0.0
1,1,1,0.030425963488843813,0.15415821501014199
1,1,2,0.03096774193548387,0.12387096774193548
1,1,3,0.0,0.125
1,2,0,0.0,0.0
1,2,1,0.02540106951871658,0.15775401069518716
1,2,2,0.05217391304347826,0.1565217391304348
1,2,3,0.0625,0.3125
1,3,0,0.0,0.3333333333333333
1,3,1,0.03313253012048193,0.14457831325301204
1,3,2,0.04868913857677903,0.14606741573033707
1,3,3,0.1111111111111111,0.2222222222222222
1,4,1,0.0,0.3333333333333333
1,4,2,0.0,0.09090909090909091
1,4,3,0.0,0.0
1,5,1,0.07692307692307693,0.07692307692307693
1,5,2,0.15384615384615385,0.0
1,6,1,0.0,0.0
1,6,2,0.0,0.0
2,0,2,0.0,0.0
2,1,0,0.0,0.0
2,1,1,0.018302828618968387,0.1281198003327787
2,1,2,0.021364009860312245,0.13640098603122433
2,1,3,0.0,0.0
2,2,0,0.0,0.0
2,2,1,0.0395227442207308,0.13571961222967935
2,2,2,0.037933817594834544,0.12994350282485875
2,2,3,0.0,0.06896551724137931
2,3,0,0.125,0.0
2,3,1,0.05454545454545454,0.14747474747474748
2,3,2,0.044444444444444446,0.13968253968253969
2,3,3,0.047619047619047616,0.14285714285714285
2,4,1,0.0,0.0
2,4,2,0.0,0.0625
2,5,1,0.03125,0.0625
2,5,2,0.0,0.10344827586206896
2,5,3,0.0,0.0
2,6,1,0.0,0.0
2,6,2,0.0,0.2
2,6,3,0.0,0.0
